id,author,title,original_title,series,series_order,status,date_started,date_finished,date_unknown,rating,format,genre,location,publication_year,notes
1,A. J. Tipton,Su ardiente vikingo,Her steamy viking,,,Leído,,,TRUE,3,ePub,Nórdico romántico ,iPhone/Books,2016,
2,A. J. Tipton,El heredero del alfa,The alfa inheritor,,,Pendiente,,,,0,ePub,,iPhone/Books,2016,
6,Adriana Rubens,La sombra de Erin,La sombra de Erin,Celtic,1,Leído,,,TRUE,3,ePub,Juvenil romántico,iPhone/Books,2018,
7,Adriana Rubens,La venganza de Lugh,La venganza de Lugh,Celtic,2,Pendiente,,,,0,,,,2019,
8,Adriana Rubens,El hechizo de Morrigan,El hechizo de Morrigan,Celtic,3,Pendiente,,,,0,,,,2020,
3,Adriana Rubens,Detrás de la máscara ,Detrás de la máscara ,Whitechapel,1,Leído,,,TRUE,3,ePub,Histórico Inglaterra,iPhone/Books,2016,
4,Adriana Rubens,Detrás de tu mirada ,Detrás de tu mirada ,Whitechapel,2,Leído,,,TRUE,3,ePub,Histórico Inglaterra,iPhone/Books,2018,
5,Adriana Rubens,Detrás de un beso ,Detrás de un beso ,Whitechapel,3,Leído,,,TRUE,3,ePub,Histórico Inglaterra,iPhone/Books,2018,
9,Adriana Rubens,Se busca Highlander,Se busca Highlander,Se busca/Hermanas Ryan,1,Leído,,,TRUE,3,ePub,Escocés moderno,iPhone/Books,2021,
10,Adriana Rubens,Puerta con puerta,Puerta con puerta,,,Leído,4 Nov 2022,6 Nov 2022,FALSE,4,ePub,Romance,iPhone/Books,2019,
11,Albert Espinosa,Lo que te diré cuando te vuelva a ver,Lo que te diré cuando te vuelva a ver,,,Pendiente,,,,0,Físico,,Físico/Varios,2017,
895,Aldous Huxley,Un mundo feliz ,Brave new world,,,Pendiente,,,,0,ePub,,iPhone/Books,1932,
841,Alexandra Black,La accidentada boda de lord Mersett,,Minstrel Valley,8,Pendiente,,,,0,,,,2020,
849,Alexandra Black,Ámame una noche más,,Minstrel Valley,16,Pendiente,,,,0,,,,2020,
855,Alexandra Black,Escribe mi nombre en tu corazón,,Minstrel Valley,22,Pendiente,,,,0,,,,2021,
893,Alexandra Martin Fynn,De Inglaterra a Virginia,From England to Virginia,Los McLeod,1,Leído,,,TRUE,4,Físico,Histórico Inglaterra,Físico/Varios,2015,
12,Alexia Mars,A la caza de un seductor,A la caza de un seductor,Cazadoras,1,Pendiente,,,,0,ePub,,iPhone/Books,2017,
13,Alice Kellen,Todo lo que nunca fuimos ,Todo lo que nunca fuimos ,Deja que ocurra,1,Pendiente,,,,0,ePub,,iPhone/Books,2020,
15,Alissa Brontë,Hambrienta,Hambrienta ,,,Leído,8 Aug 2023,10 Aug 2023,FALSE,3,ePub,Romance,iPhone/Books,2018,"Muy corto, trama muy simple."
14,Alissa Brontë,La elección,La elección,,,Leído,,,TRUE,4,ePub,Romance,iPhone/Books,2016,
